space_time_id,pop,wealth_usd,wealth_cfa,usd_to_cfa
2019_5_13_1.9508_14.6806,16084.052467562062,4797534,7671,0.0016
2020_1_27_3.3485_15.21,1622.6811824589627,455116,691,0.0016
2020_2_13_2.2729_14.6744,5956.430947752439,1978084,3164,0.0016
2020_5_31_4.5024_15.7196,987.723700462961,252927,400,0.0016
2021_12_22_0.5354_14.6522,13265.452154688855,3803700,6086,0.0016
2022_11_13_2.0112_13.0957,22586.126396956806,6105297,9759,0.0016
2022_1_20_5.0403_15.4454,4232.755223205639,1238841,1973,0.0016
2022_1_30_1.1245_13.8711,72298.27898590521,22051519,35284,0.0016
2022_2_17_1.5666_13.6046,9944.191170822423,2901791,4647,0.0016
2022_5_28_1.9168_14.2599,16412.27810940074,4270198,6830,0.0016
2022_7_13_1.8685_12.8711,5842.579343867797,1544797,2451,0.0016
2022_7_5_1.0623_14.0868,11577.757363704093,3442772,5500,0.0016
2022_8_18_0.9295_14.2063,19640.647484289133,5699679,9115,0.0016
2023_1_16_3.7855_15.0771,2341.31615620163,651922,1009,0.0016
